score, v[0], v[1], v[2], v[3], v[4], v[5], v[6], v[7], v[8], v[9]
56, 0, 1, 2, 3, 4, 6, 7, 8, 10, 15
56, 0, 1, 2, 3, 4, 6, 7, 8, 11, 14
56, 0, 1, 2, 3, 4, 6, 7, 8, 12, 13
56, 0, 1, 2, 3, 4, 6, 7, 9, 10, 14
56, 0, 1, 2, 3, 4, 6, 7, 9, 11, 13
56, 0, 1, 2, 3, 4, 6, 7, 10, 11, 12
56, 0, 1, 2, 3, 4, 6, 8, 9, 10, 13
56, 0, 1, 2, 3, 4, 6, 8, 9, 11, 12
56, 0, 1, 2, 3, 4, 7, 8, 9, 10, 12
56, 0, 1, 2, 3, 5, 6, 7, 8, 9, 15
56, 0, 1, 2, 3, 5, 6, 7, 8, 10, 14
56, 0, 1, 2, 3, 5, 6, 7, 8, 11, 13
56, 0, 1, 2, 3, 5, 6, 7, 9, 10, 13
56, 0, 1, 2, 3, 5, 6, 7, 9, 11, 12
56, 0, 1, 2, 3, 5, 6, 8, 9, 10, 12
56, 0, 1, 2, 3, 5, 7, 8, 9, 10, 11
56, 0, 1, 2, 4, 5, 6, 7, 8, 9, 14
56, 0, 1, 2, 4, 5, 6, 7, 8, 10, 13
56, 0, 1, 2, 4, 5, 6, 7, 8, 11, 12
56, 0, 1, 2, 4, 5, 6, 7, 9, 10, 12
56, 0, 1, 2, 4, 5, 6, 8, 9, 10, 11
56, 0, 1, 3, 4, 5, 6, 7, 8, 9, 13
56, 0, 1, 3, 4, 5, 6, 7, 8, 10, 12
56, 0, 1, 3, 4, 5, 6, 7, 9, 10, 11
56, 0, 2, 3, 4, 5, 6, 7, 8, 9, 12
56, 0, 2, 3, 4, 5, 6, 7, 8, 10, 11
56, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11
57, 0, 1, 2, 3, 4, 5, 6, 7, 8, 21
57, 0, 1, 2, 3, 4, 5, 6, 7, 9, 20
57, 0, 1, 2, 3, 4, 5, 6, 7, 10, 19
