score, v[0], v[1], v[2], v[3], v[4], v[5], v[6], v[7], v[8], v[9], v[10], v[11]
36, 0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13
36, 0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13
36, 0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
36, 0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13
36, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
36, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 24
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 25
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 24
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 25
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 22
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 23
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 22
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 13, 23
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 20
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 21
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 15, 20
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 15, 21
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 16, 18
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 16, 19
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 17, 18
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 17, 19
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 22
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 23
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 20
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 21
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 20
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 21
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 14, 18
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 14, 19
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 15, 18
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 15, 19
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 16, 17
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 20
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 21
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 13, 20
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 13, 21
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 18
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 19
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 15, 18
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 15, 19
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 16, 17
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 12, 13, 18
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 12, 13, 19
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 12, 14, 16
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 12, 14, 17
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 12, 15, 16
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 12, 15, 17
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 13, 14, 16
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 13, 14, 17
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 13, 15, 16
37, 0, 1, 2, 3, 4, 5, 6, 7, 8, 13, 15, 17
37, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 22
37, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 23
37, 0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 20
