score, v[0], v[1], v[2], v[3], v[4]
24, 0, 1, 6, 8, 9
24, 0, 2, 3, 4, 15
24, 0, 2, 3, 5, 14
24, 0, 2, 3, 6, 13
24, 0, 2, 3, 7, 12
24, 0, 2, 3, 8, 11
24, 0, 2, 3, 9, 10
24, 0, 2, 4, 5, 13
24, 0, 2, 4, 6, 12
24, 0, 2, 4, 7, 11
24, 0, 2, 4, 8, 10
24, 0, 2, 5, 6, 11
24, 0, 2, 5, 7, 10
24, 0, 2, 5, 8, 9
24, 0, 2, 6, 7, 9
24, 0, 3, 4, 5, 12
24, 0, 3, 4, 6, 11
24, 0, 3, 4, 7, 10
24, 0, 3, 4, 8, 9
24, 0, 3, 5, 6, 10
24, 0, 3, 5, 7, 9
24, 0, 3, 6, 7, 8
24, 0, 4, 5, 6, 9
24, 0, 4, 5, 7, 8
24, 1, 2, 3, 4, 14
24, 1, 2, 3, 5, 13
24, 1, 2, 3, 6, 12
24, 1, 2, 3, 7, 11
24, 1, 2, 3, 8, 10
24, 1, 2, 4, 5, 12
24, 1, 2, 4, 6, 11
24, 1, 2, 4, 7, 10
24, 1, 2, 4, 8, 9
24, 1, 2, 5, 6, 10
24, 1, 2, 5, 7, 9
24, 1, 2, 6, 7, 8
24, 1, 3, 4, 5, 11
24, 1, 3, 4, 6, 10
24, 1, 3, 4, 7, 9
24, 1, 3, 5, 6, 9
24, 1, 3, 5, 7, 8
24, 1, 4, 5, 6, 8
24, 2, 3, 4, 5, 10
24, 2, 3, 4, 6, 9
24, 2, 3, 4, 7, 8
24, 2, 3, 5, 6, 8
24, 2, 4, 5, 6, 7
25, 0, 1, 2, 3, 19
25, 0, 1, 2, 4, 18
25, 0, 1, 2, 5, 17
25, 0, 1, 2, 6, 16
25, 0, 1, 2, 7, 15
25, 0, 1, 2, 8, 14
25, 0, 1, 2, 9, 13
25, 0, 1, 2, 10, 12
25, 0, 1, 3, 4, 17
25, 0, 1, 3, 5, 16
25, 0, 1, 3, 6, 15
25, 0, 1, 3, 7, 14
25, 0, 1, 3, 8, 13
25, 0, 1, 3, 9, 12
25, 0, 1, 3, 10, 11
25, 0, 1, 4, 5, 15
25, 0, 1, 4, 6, 14
25, 0, 1, 4, 7, 13
25, 0, 1, 4, 8, 12
25, 0, 1, 4, 9, 11
25, 0, 1, 5, 6, 13
25, 0, 1, 5, 7, 12
25, 0, 1, 5, 8, 11
25, 0, 1, 5, 9, 10
25, 0, 1, 6, 7, 11
25, 0, 1, 6, 8, 10
25, 0, 1, 7, 8, 9
25, 0, 2, 3, 4, 16
25, 0, 2, 3, 5, 15
25, 0, 2, 3, 6, 14
25, 0, 2, 3, 7, 13
25, 0, 2, 3, 8, 12
25, 0, 2, 3, 9, 11
25, 0, 2, 4, 5, 14
25, 0, 2, 4, 6, 13
25, 0, 2, 4, 7, 12
25, 0, 2, 4, 8, 11
25, 0, 2, 4, 9, 10
25, 0, 2, 5, 6, 12
25, 0, 2, 5, 7, 11
25, 0, 2, 5, 8, 10
25, 0, 2, 6, 7, 10
25, 0, 2, 6, 8, 9
25, 0, 3, 4, 5, 13
25, 0, 3, 4, 6, 12
25, 0, 3, 4, 7, 11
25, 0, 3, 4, 8, 10
25, 0, 3, 5, 6, 11
25, 0, 3, 5, 7, 10
25, 0, 3, 5, 8, 9
25, 0, 3, 6, 7, 9
25, 0, 4, 5, 6, 10
25, 0, 4, 5, 7, 9
25, 0, 4, 6, 7, 8
25, 1, 2, 3, 4, 15
25, 1, 2, 3, 5, 14
25, 1, 2, 3, 6, 13
25, 1, 2, 3, 7, 12
25, 1, 2, 3, 8, 11
25, 1, 2, 3, 9, 10
25, 1, 2, 4, 5, 13
25, 1, 2, 4, 6, 12
25, 1, 2, 4, 7, 11
25, 1, 2, 4, 8, 10
25, 1, 2, 5, 6, 11
25, 1, 2, 5, 7, 10
25, 1, 2, 5, 8, 9
25, 1, 2, 6, 7, 9
25, 1, 3, 4, 5, 12
25, 1, 3, 4, 6, 11
25, 1, 3, 4, 7, 10
25, 1, 3, 4, 8, 9
25, 1, 3, 5, 6, 10
25, 1, 3, 5, 7, 9
25, 1, 3, 6, 7, 8
25, 1, 4, 5, 6, 9
25, 1, 4, 5, 7, 8
25, 2, 3, 4, 5, 11
25, 2, 3, 4, 6, 10
25, 2, 3, 4, 7, 9
25, 2, 3, 5, 6, 9
25, 2, 3, 5, 7, 8
25, 2, 4, 5, 6, 8
25, 3, 4, 5, 6, 7
26, 0, 1, 2, 3, 20
26, 0, 1, 2, 4, 19
26, 0, 1, 2, 5, 18
26, 0, 1, 2, 6, 17
26, 0, 1, 2, 7, 16
26, 0, 1, 2, 8, 15
26, 0, 1, 2, 9, 14
26, 0, 1, 2, 10, 13
26, 0, 1, 2, 11, 12
26, 0, 1, 3, 4, 18
26, 0, 1, 3, 5, 17
26, 0, 1, 3, 6, 16
26, 0, 1, 3, 7, 15
26, 0, 1, 3, 8, 14
26, 0, 1, 3, 9, 13
26, 0, 1, 3, 10, 12
26, 0, 1, 4, 5, 16
26, 0, 1, 4, 6, 15
26, 0, 1, 4, 7, 14
26, 0, 1, 4, 8, 13
26, 0, 1, 4, 9, 12
26, 0, 1, 4, 10, 11
26, 0, 1, 5, 6, 14
26, 0, 1, 5, 7, 13
26, 0, 1, 5, 8, 12
26, 0, 1, 5, 9, 11
26, 0, 1, 6, 7, 12
26, 0, 1, 6, 8, 11
26, 0, 1, 6, 9, 10
26, 0, 1, 7, 8, 10
26, 0, 2, 3, 4, 17
26, 0, 2, 3, 5, 16
